Unnamed: 0,Dosya Adı,Cümle Sayısı,Hece Sayısı,Cümle Başına Ortalama Kelime Sayısı,Cümle Başına Ortalama Hece Sayısı,Ateşman Okunabilirlik Puanı,Ofansif Cümle Sayısı,Ofansif Cümle Oranı,Ofansif Cümle Yüzdesi,Ofansif Kelime Sayısı,Ofansif Kelime Oranı,Kelime Sayısı,Ofansif Kelime Sayısının Ofansif Olmayan Kelime Sayısına oranı,FRES,CetinKayaUzun,Ortalama Cümle Ofansifliği,Önerilen Yaş Aralığı
48,Aziz Nesin - Rifat Bey Neden Kasiniyor.txt,3764,74420,8.007438894792774,19.77151965993624,78.72772449786225,728,0.1934112646121148,0.2397891963109355,544,0.018049104180491,30140,0.0183808622786863,219.5964077168749,46.88213184310977,0.1968396531083968,18+
49,Aziz Nesin - Simdi Avrupa.txt,2826,57194,7.866595895258316,20.23849964614296,74.93440867990901,340,0.1203113941967445,0.1367658889782783,277,0.0124600782690837,22231,0.0126172906987337,220.6155637286807,44.32742243531956,0.1240934225029799,18+
50,Aziz Nesin - Simdiki Cocuklar Harika.txt,4601,83022,6.961747446207347,18.04433818735058,76.52418917008178,492,0.1069332753749185,0.1197371623266001,448,0.0139864506259561,32031,0.0141848462780609,221.696525133895,44.70674742566786,0.1107516156459572,18+
51,Aziz Nesin - Sizin Memlekette Esek Yokmu.txt,5162,92286,7.203603254552499,17.87795428128632,80.31699203647719,710,0.1375435877566835,0.1594788858939802,623,0.0167540675003361,37185,0.0170395492587932,220.5194314420911,47.33357804499289,0.1410286585355031,18+
52,Aziz Nesin - Tatli Betus.txt,10838,209546,7.962631481823214,19.33437903672264,80.49203240602859,1792,0.1653441594390109,0.1980986071191687,1780,0.0206259632208948,86299,0.0210603532933423,219.2949881659856,47.99122686987548,0.1687529433360341,18+
53,Aziz Nesin - Zubuklugun Sonu Yok.txt,3413,57693,6.912686785818928,16.90389686492821,82.5411939782255,484,0.1418107237034867,0.1652441106179584,458,0.0194125376170898,23593,0.0197968446077371,220.5062327966815,48.56362769562882,0.1458055003303968,18+
54,balonla-bes-hafta.txt,150,6181,16.34666666666667,41.20666666666666,54.88708621533442,7,0.0466666666666666,0.0489510489510489,35,0.014274061990212,2452,0.0144807612743069,211.5690958129418,37.44237402392605,0.045912292553888,12-15
55,booksfer.com-tatli-dusmani-kristen-callihanpdf-indir-23078.txt,13468,237123,7.922260172260172,17.60640035640036,88.86313638344967,1349,0.1001633501633502,0.1113128145886624,1590,0.0149020122402691,106697,0.0151274415595536,217.5953771942638,53.37707711383399,0.101933927090919,15-18
56,Cengiz-Aytmatov-Cemile.txt,3073,60637,7.439310120403515,19.73218353400586,72.84738072659806,208,0.0676863000325414,0.0726003490401396,422,0.0184593849787848,22861,0.0188065421810241,221.7235831900406,42.67096134590216,0.0734081833659793,12-15
57,Daniel Defoe - Robinson Crusoe-Türkiye İş Bankası Kültür Yayınları (2016).txt,2811,211433,28.60441124155105,75.21629313411597,18.52592839969876,66,0.023479188900747,0.0240437158469945,1506,0.0187297125872125,80407,0.0190872105549993,200.0473865071463,22.71439734409799,0.0250975348040287,8-12
58,Fyodor Mihayloviç Dostoyevski - Suç ve Ceza-Türkiye İş Bankası Kültür Yayınları (2012).txt,24403,427184,6.906118100233578,17.50538868171946,78.96583487949638,7770,0.3184034749825841,0.4671436301328684,3834,0.0227496588144544,168530,0.023279253898091,221.2694047666063,46.24621285816871,0.3181869787674761,15-18
59,Fyodor Mihayloviç Dostoyevski - Yeraltından Notlar-Türkiye İş Bankası Kültür Yayınları (2020).txt,3201,77267,9.328647297719463,24.13839425179631,70.52218132486205,720,0.2249297094657919,0.2902055622732769,672,0.0225042697833294,29861,0.0230223714412963,219.2571440001487,42.52207415741462,0.2272943671472994,15-18
60,Gormander - Çocuklar Yönetimde.txt,1720,34969,7.643023255813953,20.33081395348837,72.00925342220995,81,0.0470930232558139,0.0494203782794386,229,0.0174197474516963,13146,0.0177285747464581,221.5813432620764,42.27493926722779,0.0501057231130395,8-12
61,Grigory Petrov - İdeal Öğretmen.txt,841,25284,11.48275862068965,30.06420927467301,63.66863777570673,62,0.0737217598097502,0.079589216944801,126,0.0130475302889096,9657,0.0132200188857412,217.3300093196645,39.63396334265299,0.0753839193575037,8-12
62,İvan Sergeyeviç Turgenyev - Babalar ve Oğullar-Türkiye İş Bankası Kültür Yayınları (2013).txt,7995,137181,6.664790494058787,17.15834896810507,78.00028857179021,2199,0.275046904315197,0.3793995859213251,1053,0.0197616590034719,53285,0.0201600551386123,221.8503119658805,45.4485580183331,0.2762914418581998,12-15
