isbn,title,author,residual,segment
9789758514243,Kimya-yı Saadet,İmam Gazali,1.2025833126887155,BEDİR YAYINLARI_pahali
9786057860927,Ermiş (Cep Boy) (Tam Metin),Halil Cibran,1.4950082603340258,KARBON KİTAPLAR_ucuz
9789750816338,Metal Yorgunluğu / Seçme Öyküler,Tomris Uyar,1.0240881173447995,YAPI KREDİ YAYINLARI_ucuz
9789752638655,"İnanç Psikolojisi ve Bilim  & Ruh, Beyin ve Akıl Üçgeninde İnsanoğlu",Prof. Dr. Nevzat Tarhan,0.4430590448047642,TİMAŞ YAYINLARI_orta
9789756835708,İmanın Psikolojik Yapısı,Hülya Alper,0.37041565593762815,RAĞBET YAYINLARI_ekonomik
9789750816307,Niteliksiz Adam II,Robert Musil,0.6157405335280908,YAPI KREDİ YAYINLARI_ekonomik
9786050827613,Milli Şairimiz Mehmet Akif,Metin Özdamarlar,0.5114433969580587,EĞLENCELİ BİLGİ_ekonomik
9786052041789,Kral Şakir 2 / Macera Devam Ediyor (Ciltli),Varol Yaşaroğlu,2.031367417060533,EKSİK PARÇA ÇOCUK_orta
9786053607564,Para Üzerine Bir İnceleme (Karton Kapak),John Maynard Keynes,0.6046697974230097,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI_ucuz
9786050927399,Valizdeki Kedi,Göktuğ Canbaba,1.5973128425797123,DOĞAN EGMONT ÇOCUK KİTAPLARI_ekonomik
9786056460845,Android Programlama Eğitimi,Aykut Taşdelen,0.5663399918421317,PUSULA YAYINCILIK VE İLETİŞİM_orta
9789750738944,Vadideki Zambak,Honore de Balzac,1.7283786746462608,CAN YAYINLARI_ucuz
9786056501937,Hızlandıkça Azalıyorum,Kjersti Skomsvold,0.5410929198335506,JAGUAR KİTAP_ucuz
9786054836628,Germinal,Emile Zola,0.8205232240837539,YORDAM KİTAP_ekonomik
9789753899246,Selçuklular Cilt:1 & Büyük Selçuklu Devleti Tarihi (1040-1157),Osman G. Özgüdenli,0.8602541644752959,İSAM / İSLAM ARAŞTIRMALARI MERKEZİ_orta
9786050202946,Kapitalizmin Kısa Tarihi,Fernand Braudel,1.3340818437880513,SAY YAYINLARI_ucuz
9789750512018,Peri Gazozu,Ercan Kesal,1.807054916615451,İLETİŞİM YAYINLARI_ekonomik
9786052952801,Vahşetin Çağrısı (Kısaltılmış Metin),Jack London,1.5232766107127569,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI_ucuz
9789944885676,Modern İran Tarihi,Ervand Abrahamian,0.43475390288285265,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI_ucuz
9786053700630,Anadolu Fatihi Sultan Alp Arslan,Yusuf Dursun,1.0122165750964442,NAR ÇOCUK YAYINLARI_ucuz
9786052985144,İfsa,Toygun Atilla,0.7174232473766713,KIRMIZI KEDİ YAYINEVİ_ekonomik
9789753421362,Paranın Cinleri,Murathan Mungan,0.8506898861973733,METİS YAYINLARI_ucuz
9789750715495,Akkuzu Karakuzu,Stefano Bordiglioni,0.6436265428980965,CAN ÇOCUK YAYINLARI_ucuz
9786257784214,Bir Delinin Hatıra Defteri - Portre,Nikolay Vasilievich Gogol,0.7989298718955125,KAPRA YAYINCILIK_ucuz
9789753316569,Gelin,Julie Garwood,0.6125434165037351,EPSİLON YAYINEVİ_orta
